price,unit,location,bedrooms,baths,state
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦6 million                                                     ",,From Bourdillon Road Ikoyi,4,,Lagos
"
                                                        ₦50 thousand                             ",,No. 22 Akiogun Street Oniru,,,Lagos
Price on call,,"Estaport, Gbagada, Lagos State",3,,Lagos
Price on call,,"Atunrase Estate Gbagada, Lagos State",3,,Lagos
"
                                                        ₦6 million                             ",,"First Floor Cluster D 1004 Estate, Adetokunbo Ademola Street V.I Lagos",3,,Lagos
"
                                                        ₦50 thousand                             ",,No. 22 Akiogun Street Oniru,,,Lagos
Price on call,,"Oniru Estate, Victoria Island",3,,Lagos
"
                                                        ₦120 million                                                     ",,Parkview Estate Ikoyi,3,,Lagos
Price on call,,"Crown Estate, Lekki Peninsula",4,,Lagos
"
                                                        ₦1.2 million                                                     ",,Ajah,2,,Lagos
Price on call,,"Plot 42, Block Li, Chevron Drive, Lekki Lagos",,,Lagos
"
                                                        ₦8 million                                                     ",,"Lammy Court, Oniru Private Estate",3,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦6 million                                                     ",,"Abayomi Sonuga Street, Lekki Phase 1",5,,Lagos
"
                                                        ₦3.5 million                                                     ",,"Cadogan Estate, Osapa, Lekki",3,,Lagos
Price on call,,"Asokoro, Abuja",4,,Lagos
"
                                                        ₦15 million                                                     ",,"Vita Towers, Victoria Island",3,,Lagos
"
                                                        ₦14 million                                                     ",,"Running Brooks, Banana Island, Ikoyi",4,,Lagos
"
                                                        ₦20 million                                                     ",,"Ocean Parade Apts, Banana Island, Ikoyi",4,,Lagos
Price on call,,"Ilupeju, Lagos",4,,Lagos
"
                                                        ₦3,500,000                                                    ",,"Adeniyi Jones Street, Ikeja",6,,Lagos
"
                                                        ₦1,000,000                                                    ",,"Wemabod Estate, Ikeja",3,,Lagos
"
                                                        ₦500,000                                                    ",,Magodo,,,Lagos
"
                                                        ₦2,500,000                                                    ",,. Off Kola Amodu,,,Lagos
Price on call,," On Broad Str. Marina, Onikan & Environs. ",,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦2,000,000                                                    ",,3b.R. + B/Q Service Flat N2m S/C: N1m,,,Lagos
"
                                                        ₦4,000,000                                                    ",,Oniru:,,,Lagos
"
                                                        ₦3,000,000                                                    ",,S.W. Ikoyi,,,Lagos
"
                                                        ₦2,500,000                                                    ",,Isheri North (Lsdpc) & Magodo 2,,,Lagos
"
                                                        ₦15,000,000                                                    ",,Off Adeola Odeku,,,Lagos
"
                                                        ₦1,500,000                                                    ",,Off Adeniyi Jones,,,Lagos
"
                                                        ₦3,500,000                                                    ",,. Off Allen ,,,Lagos
"
                                                        ₦3,000,000                                                    ",, Off Admiralty Way,,,Lagos
"
                                                        ₦3,000,000                                                    ",,Ogudu,4,,Lagos
"
                                                        ₦700,000                                                    ",,shangisha,,,Lagos
"
                                                        ₦2,500,000                                                    ",,Magodo (2) (Shangisha),,,Lagos
"
                                                        ₦500,000                                                    ",,t At Adebiyi Str. ,3,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦1,000,000                                                    ",,Magodo (I) (Isheri),2,,Lagos
Price on call,," On Broad Str. Marina,",,,Lagos
"
                                                        ₦1,200,000                                                    ",,Dolphin,3,,Lagos
"
                                                        ₦2,000,000                                                    ",,"Oniru, Victoria Island ",3,,Lagos
"
                                                        ₦4,000,000                                                    ",,Oniru,,,Lagos
"
                                                        ₦15,000,000                                                    ",,. Off Queens Drive ,5,,Lagos
"
                                                        ₦4,000,000                                                    ",,) Off Kingsway Rd.,,,Lagos
"
                                                        ₦5,000,000                                                    ",,Ikoyi,,,Lagos
"
                                                        ₦2,000,000                                                    ",,At May Flower Est,4,,Lagos
"
                                                        ₦1,500,000                                                    ",,Ajah (Lekki-Epe Expr.),,,Lagos
"
                                                        ₦15,000,000                                                    ",,Off Ajose Adeogun ,,,Lagos
"
                                                        ₦7,000,000                                                    ",,Off Adeola Odeku ,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦2,000,000                                                    ",,At Magodo ,,,Lagos
"
                                                        ₦4,000,000                                                    ",, Off Admiralty Way ,,,Lagos
"
                                                        ₦5,000,000                                                    ",, Off Kingsway Rd.,,,Lagos
"
                                                        ₦20,000,000                                                    ",,ff Bishop Oluwole,9,,Lagos
"
                                                        ₦2,500,000                                                    ",,s Off Adeola Odeku,,,Lagos
"
                                                        ₦8,000,000                                                    ",,On Admiralty Way ,,,Lagos
"
                                                        ₦4,000,000                                                    ",,Off Admiralty Way,,,Lagos
