price,unit,location,bedrooms,baths,state
"₦2,620,000.00 Per Year","₦2,620,000.00 Per Year",", 7 obasa street, Oba-Akran, Ikeja, Lagos, Nigeria",,,
"₦2,500,000.00 ","₦2,500,000.00 ",", Tudu wada, Karshi,, Karu, Nasaruwa, Nigeria",,,
"₦300,000.00 ","₦300,000.00 ",", ukeh, masaka, mararba, Karu, Nasaruwa, Nigeria",,,
 per month, per month,", World Trade Center Commercial Tower, Plot 1113, Co, CBD, Abuja FCT, Nigeria",,,
 , ,", World Trade Center, Plot 1113, Constitution Avenue, CBD, Abuja FCT, Nigeria",2,,
 , ,", World Trade Center, Plot 1113, Constitution Avenue, CBD, Abuja FCT, Nigeria",1,,
 , ,", World Trade Center, Plot 1113, Constitution Avenue, CBD, Abuja FCT, Nigeria",3,,
 , ,", 474, A0, Cadastral zone, Constitution Avenue, CBD, Abuja FCT, Nigeria",,,
"₦33,000,000.00 ","₦33,000,000.00 ",", Alafia Bus stop, Badagry Express Way, Lagos, Nigeria",5,5f,
"₦30,000,000.00 ","₦30,000,000.00 ",", Alafia Bus stop, Badagry Express Way, Lagos, Nigeria",8,7f,
"₦3,750,000.00 Per Year","₦3,750,000.00 Per Year",", jabi by eco bank, Jabi, Abuja FCT, Nigeria",3,3f,
"₦40,000,000.00 ","₦40,000,000.00 ",", Alafia Bus stop, Badagry Express Way, Lagos, Nigeria",5,5f,
"₦150,000,000.00 ","₦150,000,000.00 ",", Oduduwa Crescent, Nigeria",4,4f,
"₦5,500,000.00 Per Year","₦5,500,000.00 Per Year",", Oduduwa Crescent, Nigeria",4,4f,
"₦48,000,000.00 ","₦48,000,000.00 ",", Nigeria",3,3f,
"₦9,500,000.00 ","₦9,500,000.00 ",", BeechWood Estate Shapati, Lakowe Lagos., Lakowe, Ibeju/Lekki, Lagos, Nigeria",0,,
"₦66,000,000.00 ","₦66,000,000.00 ",", Image, Ikate, Lekki, Lagos, Nigeria",4,4f,
"₦2,700,000.00 ","₦2,700,000.00 ",", Kayetoro street, eleko Lagos, Eleko, Ibeju/Lekki, Lagos, Nigeria",0,,
"₦10,000,000.00 ","₦10,000,000.00 ",", Boystown Bus stop, Ipaja Road, Ipaja Lagos, Egbeda, Alimosho, Lagos, Nigeria",0,,
"₦350,000.00 Per Year","₦350,000.00 Per Year",", solebo estate ebute ikorodu, Ipakodo, Ikorodu, Lagos, Nigeria",3,3f,
"₦40,000.00 Per Year","₦40,000.00 Per Year",", adegbose estate solebo ebute, Ipakodo, Ikorodu, Lagos, Nigeria",3,3f,
"₦55,000,000.00 ","₦55,000,000.00 ",", Nigeria",4,4f,
"₦110,000,000.00 ","₦110,000,000.00 ",", Lifecamp, Gwarinpa, Abuja FCT, Nigeria",6,6f,
"₦16,600,000.00 ","₦16,600,000.00 ",", Apo, Gudu, Abuja FCT, Nigeria",0,,
"₦85,000,000.00 ","₦85,000,000.00 ",", Gwarinpa, Gwarinpa, Abuja FCT, Nigeria",5,6f,
"₦50,000,000.00 ","₦50,000,000.00 ",", Nigeria",4,4f,
"₦8,500,000.00 ","₦8,500,000.00 ",", Simawa, Ogun, Nigeria",2,2f,
"₦39,000,000.00 ","₦39,000,000.00 ",", Lekki Gardens Horizon 2, Nigeria",4,4f,
"₦35,000,000.00 ","₦35,000,000.00 ",", Prince Kazeem Eletu Road,, Osapa, Lekki, Lagos, Nigeria",3,3f,
"₦300,000,000.00 ","₦300,000,000.00 ",", Adekunle Araba Street, Ire Akari, Isolo, Oshodi-Isolo, Lagos, Nigeria",4,3f,
"₦150,000,000.00 ","₦150,000,000.00 ",", Agbabiaka Street, off Ago Palace Way, Okota, Oshodi-Isolo, Lagos, Nigeria",4,,
"₦35,000,000.00 ","₦35,000,000.00 ",", Akowonjo, Egbeda, Alimosho, Lagos, Nigeria",0,0f,
"₦75,000,000.00 ","₦75,000,000.00 ",", Awuse Estate, Opebi, Ikeja, Lagos, Nigeria",3,3f,
"₦850,000.00 ","₦850,000.00 ",", Nigeria",0,,
"₦30,000,000.00 ","₦30,000,000.00 ",", Ajah, Eti-Osa, Lagos, Nigeria",3,0f,
"₦18,000,000.00 ","₦18,000,000.00 ",", Shimawa, Lagos - Ibadan Expressway, Ogun, Nigeria",3,3f,
"₦12,000,000.00 ","₦12,000,000.00 ",", Shimawa, Lagos - Ibadan Expressway, Ogun, Nigeria",2,2f,
"₦3,000,000.00 Per Year","₦3,000,000.00 Per Year",", Ikeja GRA, Ikeja, Lagos, Nigeria",3,3f,
"₦400,000.00 Per Year","₦400,000.00 Per Year",", Unity Estate, Egbeda, Alimosho, Lagos, Nigeria",3,2f,
"₦3,000,000.00 Per Year","₦3,000,000.00 Per Year",", MKO Abiola Garden, Alausa, Ikeja, Lagos, Nigeria",4,3f,
"₦1,275,000.00 ","₦1,275,000.00 ",", Karu, Abuja FCT, Nigeria",0,,
"₦850,000.00 ","₦850,000.00 ",", Shimawa, Lagos - Ibadan Expressway, Ogun, Nigeria",0,,
"₦28,000,000.00 ","₦28,000,000.00 ",", Nigeria",0,,
"₦5,500,000.00 Per Year","₦5,500,000.00 Per Year",", Nigeria",4,4f,
"₦26,000,000.00 ","₦26,000,000.00 ",", Lugbe, Abuja FCT, Nigeria",3,3f,
"₦33,500,000.00 ","₦33,500,000.00 ",", Ajah, Lekki, Lagos, Nigeria",4,4f,
"₦16,000,000.00 ","₦16,000,000.00 ",", Lugbe, Abuja FCT, Nigeria",3,3f,
"₦1,700,000.00 Per Year","₦1,700,000.00 Per Year",", Wemabod Estate, Adeniyi Jones, Ikeja, Lagos, Nigeria",3,3f,
"₦500,000,000.00 ","₦500,000,000.00 ",", Nigeria",0,,
"₦550,000,000.00 ","₦550,000,000.00 ",", Nigeria",0,,
"₦520,000,000.00 ","₦520,000,000.00 ",", Nigeria",0,,
"₦6,000,000.00 ","₦6,000,000.00 ",", Owutu/Agric, Ikorodu, Lagos, Nigeria",0,,
"₦1,000,000.00 Per Year","₦1,000,000.00 Per Year",", Fola Agoro, Yaba, Lagos, Nigeria",3,3f,
"₦15,000,000.00 ","₦15,000,000.00 ",", Beechwood Estate, Lakowe, Lekki, Lagos, Nigeria",0,,
