price,unit,location,bedrooms,baths,state
"
                                                                        ₦1,200,000
                                                                            ",/ yr,ALAPERE HOUSING ESTATE,4 Beds / 4 Baths Flat To Rent,,ALAPERE HOUSING ESTATE
"
                                                                        ₦700,000
                                                                            ",/ yr,GALADINMAWA ROUND ABOUT,1 Bed / 1 Bath Flat To Rent,,GALADINMAWA ROUND ABOUT
"
                                                                        ₦700,000
                                                                            ",/ yr,SURULERE,2 Beds / 2 Baths Flat To Rent,,SURULERE
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Lekki Palm City Estate Ajah Lagos,2 Beds / 2 Baths Flat To Rent,,Lekki Palm City Estate Ajah Lagos
"
                                                                        ₦600,000
                                                                            ",/ yr,AJAO ESTATE,1 Bed / 1 Bath Flat To Rent,,AJAO ESTATE
"
                                                                        ₦1,000,000
                                                                            ",/ yr,AJAO ESTATE,3 Beds / 3 Baths Flat To Rent,,AJAO ESTATE
"
                                                                        ₦3,000,000
                                                                            ",/ yr,CORNERSTONE ESTATE,3 Beds / 3 Baths Duplex To Rent,,CORNERSTONE ESTATE
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Adeniyi Jones,3 Beds / 3 Baths Flat To Rent,,Adeniyi Jones
"
                                                                        ₦850,000
                                                                            ",/ yr,Ajah Lagos,2 Beds / 2 Baths Flat To Rent,,Ajah Lagos
"
                                                                        ₦1,100,000
                                                                            ",/ yr,Harmony Estate,2 Beds / 2 Baths Flat To Rent,,Harmony Estate
"
                                                                        ₦600,000
                                                                            ",/ yr,OMOLE ESTATE,1 Bed / 1 Bath Flat To Rent,,OMOLE ESTATE
"
                                                                        ₦1,200,000
                                                                            ",/ yr,MAGODO GRA,2 Beds / 2 Baths Flat To Rent,,MAGODO GRA
"
                                                                        ₦3,000,000
                                                                            ",/ yr,Lekki Phase 1,3 Beds / 3 Baths Duplex To Rent,,Lekki Phase 1
"
                                                                        ₦1,200,000
                                                                            ",/ yr,Magodo Gra,2 Beds / 2 Baths Flat To Rent,,Magodo Gra
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Ikota Lekki,3 Beds / 3 Baths Flat To Rent,,Ikota Lekki
"
                                                                        ₦5,000,000
                                                                            ",/ yr,Lekki Phase 1 Estate,5 Beds / 5 Baths Semi Detached To Rent,,Lekki Phase 1 Estate
"
                                                                        ₦1,700,000
                                                                            ",/ yr,"Ajao Estate, Air Port Road",5 Beds / 5 Baths Duplex To Rent,,"Ajao Estate, Air Port Road"
"
                                                                        ₦2,000,000
                                                                            ",/ yr,Off Allen,2 Beds / 2 Baths Flat To Rent,,Off Allen
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Maryland Lagos,3 Beds / 3 Baths Duplex To Rent,,Maryland Lagos
"
                                                                        ₦1,800,000
                                                                            ",/ yr,Osborne Phase 2,1 Bed / 1 Bath Flat To Rent,,Osborne Phase 2
"
                                                                        ₦2,500,000
                                                                            ",/ yr,Gbagada Lagos,4 Beds / 4 Baths Duplex To Rent,,Gbagada Lagos
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Oniru Estate,3 Beds / 3 Baths Flat To Rent,,Oniru Estate
"
                                                                        ₦1,300,000
                                                                            ",/ yr,OPEBI,3 Beds / 3 Baths Flat To Rent,,OPEBI
"
                                                                        ₦600,000
                                                                            ",/ yr,ONIGBONGBO,1 Bed / 1 Bath Flat To Rent,,ONIGBONGBO
"
                                                                        ₦550,000
                                                                            ",/ yr,Itire Surulere,1 Bed / 1 Bath Flat To Rent,,Itire Surulere
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Lekki Phase 1 Estate,4 Beds / 4 Baths Terrace To Rent,,Lekki Phase 1 Estate
"
                                                                        ₦170,000
                                                                            ",/ yr,"Coca-Cola Estate, Off Adesan Road, Mowe",2 Beds / 3 Baths Flat To Rent,,"Coca-Cola Estate, Off Adesan Road, Mowe"
"
                                                                        ₦3,000,000
                                                                            ",/ yr,Osapa Lekki,4 Beds / 4 Baths Terrace To Rent,,Osapa Lekki
"
                                                                        ₦500,000
                                                                            ",/ yr,Cheveron Lekki,1 Bed / 1 Bath Flat To Rent,,Cheveron Lekki
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Simeon Akinlolu,3 Beds / 3 Baths Flat To Rent,,Simeon Akinlolu
"
                                                                        ₦600,000
                                                                            ",/ yr,Yaba Lagos,1 Bed / 1 Bath Flat To Rent,,Yaba Lagos
"
                                                                        ₦1,100,000
                                                                            ",/ yr,OPEBI LAGOS,3 Beds / 3 Baths Flat To Rent,,OPEBI LAGOS
"
                                                                        ₦1,800,000
                                                                            ",/ yr,Chevy View Estate,3 Beds / 3 Baths Flat To Rent,,Chevy View Estate
"
                                                                        ₦3,500,000
                                                                            ",/ yr,Lekki Phase 1,3 Beds / 3 Baths Terrace To Rent,,Lekki Phase 1
"
                                                                        ₦6,500,000
                                                                            ",/ yr,Banana Island Ikoyi Lagos,3 Beds / 3 Baths Terrace To Rent,,Banana Island Ikoyi Lagos
"
                                                                        ₦1,000,000
                                                                            ",/ yr,Harmony Estate,3 Beds / 3 Baths Flat To Rent,,Harmony Estate
"
                                                                        ₦6,500,000
                                                                            ",/ yr,Banana Island Lagos,3 Beds / 3 Baths Duplex To Rent,,Banana Island Lagos
"
                                                                        ₦18,000
                                                                            ",/ day,Magodo Gra,1 Bed / 2 Baths Flat To Rent,,Magodo Gra
"
                                                                        ₦250,000
                                                                            ",/ yr,Anthony Lagos,1 Bed / 1 Bath Flat To Rent,,Anthony Lagos
"
                                                                        ₦6,500,000
                                                                            ",/ yr,Banana Island,3 Beds / 3 Baths Terrace To Rent,,Banana Island
"
                                                                        ₦6,500,000
                                                                            ",/ yr,Ikate Elegushi,4 Beds / 4 Baths Duplex To Rent,,Ikate Elegushi
"
                                                                        ₦700,000
                                                                            ",/ yr,AJAO ESTATE,2 Beds / 2 Baths Flat To Rent,,AJAO ESTATE
"
                                                                        ₦700,000
                                                                            ",/ yr,Sholuyi Gbagada,2 Beds / 2 Baths Flat To Rent,,Sholuyi Gbagada
"
                                                                        ₦1,400,000
                                                                            ",/ yr,Mobil Road Ajah Lagos,3 Beds / 3 Baths Flat To Rent,,Mobil Road Ajah Lagos
"
                                                                        ₦2,500,000
                                                                            ",/ yr,"8B, Line 2A, Aladanla Layout",9 Beds / 9 Baths Bungalow To Rent,,"8B, Line 2A, Aladanla Layout"
"
                                                                        ₦4,000,000
                                                                            ",/ yr,Old G.R.A,4 Beds / 5 Baths Duplex To Rent,,Old G.R.A
"
                                                                        ₦200,000
                                                                            ",/ yr,Odo Ona Elewe Off New Garage Behind Taska Filling Station,2 Beds / 1 Bath Flat To Rent,,Odo Ona Elewe Off New Garage Behind Taska Filling Station
"
                                                                        ₦900,000
                                                                            ",/ yr,Ikate,1 Bed / 1 Bath Flat To Rent,,Ikate
"
                                                                        ₦7,500,000
                                                                            ",/ yr,Lugard,2 Beds / 2 Baths Flat To Rent,,Lugard
"
                                                                        ₦35,000
                                                                            ",/ day,Dideolu Estate,1 Bed / 1 Bath Flat To Rent,,Dideolu Estate
"
                                                                        ₦60,000
                                                                            ",/ day,Safe Court Ikate Elegushi,4 Beds / 4 Baths Flat To Rent,,Safe Court Ikate Elegushi
"
                                                                        ₦800,000
                                                                            ",/ yr,Ifako Gbagada,3 Beds / 3 Baths Flat To Rent,,Ifako Gbagada
"
                                                                        ₦400,000
                                                                            ",/ yr,Lawanson,1 Bed / 1 Bath Flat To Rent,,Lawanson
"
                                                                        ₦1,000,000
                                                                            ",/ yr,"Addo Road,  After  Blenco Supermarket",2 Beds / 2 Baths Flat To Rent,,"Addo Road,  After  Blenco Supermarket"
"
                                                                        ₦700,000
                                                                            ",/ yr,Gbagada Lagos,3 Beds / 3 Baths Flat To Rent,,Gbagada Lagos
"
                                                                        ₦400,000
                                                                            ",/ yr,Opebi Lagos,1 Bed / 1 Bath Flat To Rent,,Opebi Lagos
"
                                                                        ₦700,000
                                                                            ",/ yr,Sholuyi Gbagada,3 Beds / 3 Baths Flat To Rent,,Sholuyi Gbagada
"
                                                                        ₦450,000
                                                                            ",/ yr,Ketu Lagos,2 Beds / 2 Baths Flat To Rent,,Ketu Lagos
"
                                                                        ₦800,000
                                                                            ",/ yr,LEKKI,1 Bed / 1 Bath Flat To Rent,,LEKKI
"
                                                                        ₦1,000,000
                                                                            ",/ yr,Oregun,3 Beds / 3 Baths Flat To Rent,,Oregun
"
                                                                        ₦250,000
                                                                            ",/ yr,Alapere,1 Bed / 1 Bath Flat To Rent,,Alapere
"
                                                                        ₦2,000,000
                                                                            ",/ yr,Ilupeju,2 Beds / 2 Baths Flat To Rent,,Ilupeju
"
                                                                        ₦3,000,000
                                                                            ",/ yr,Ogudu Gra,4 Beds / 4 Baths Duplex To Rent,,Ogudu Gra
"
                                                                        ₦1,200,000
                                                                            ",/ yr,"Parkland Estate, Off Peter Odili Road",2 Beds / 3 Baths Flat To Rent,,"Parkland Estate, Off Peter Odili Road"
"
                                                                        ₦5,000,000
                                                                            ",/ yr,Ikoyi Lagos,3 Beds / 2 Baths Flat To Rent,,Ikoyi Lagos
"
                                                                        ₦80,000
                                                                            ",/ day,Bourdillon Drive,3 Beds / 3 Baths Flat To Rent,,Bourdillon Drive
"
                                                                        ₦1,300,000
                                                                            ",/ yr,Sholuyi,4 Beds / 4 Baths Duplex To Rent,,Sholuyi
"
                                                                        ₦600,000
                                                                            ",/ yr,Gbagada,1 Bed / 1 Bath Flat To Rent,,Gbagada
