price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","1c Fatai Durosinmi-Etiti Cres, Lagos Island West, Lagos Island West",5,4,1,Lagos
"
                    ₦ 3 200 000
                ","
                        Per Year
                    ","IKOTA, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","IKATE, Lekki, Lekki",2,2,,Lagos
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 18 000 000
                ","
                        Per Year
                    ","BANANA ISLAND ESTATE, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 1 000 000
                ","
                        Per Year
                    ","Ado road Close to Ecobank off Ajah busstop, Lekki, Lekki",3,3,3,Lagos
"
                    ₦ 550 000
                ","
                        Per Year
                    ","Unity Estate Badore by Co-operative Estate., Lekki, Lekki",1,1,2,Lagos
"
                    ₦ 45 000
                ","
                        Per m²
                    ","Second Roundabout,  Lekki Epe Expressway, Lekki, Lekki",,,,Lagos
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","agungi lekki lagos, Lekki, Lekki",3,3,,Lagos
"
                    ₦ 1 100 000
                ","
                        Per Year
                    ","Green Ville Estate Badore, Lekki, Lekki",2,2,3,Lagos
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","OFF GLOVER ROAD, Ikoyi-obalende, Ikoyi-obalende",2,2,,Lagos
"
                    ₦ 700 000
                ","
                        Per Year
                    ","Badore off Ajah Busstop, Lekki, Lekki",2,2,3,Lagos
"
                    ₦ 9 000 000
                ","
                        Per Year
                    ","OFF GLOVER ROAD, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 400 000
                ","
                        Per Year
                    ","19 Dotun Shobukola Street, Egbe Idimu, Egbe Idimu",3,2,,Lagos
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","BANANA ISLAND, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","Paradise Estate by Chevron Drive off Lekki Expressway, Lekki, Lekki",2,3,2,Lagos
