price,unit,location,bedrooms,baths,parking_lots,state
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"3,500,000", per annum,"  Idado, Lekki, Lagos",5,5,,
"2,000,000", per annum,"  Wuye District, Abuja, Wuye, Abuja",2,3,,
"6,500,000", per annum,"  Lekki Phase 1, Lekki, Lagos",5,5,7,
"1,000,000", per annum,"  Lekki Phase 1 Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",2,1,,
"3,000,000", per annum,"  Oral Estate, Lekki, Lagos",4,5,6,
"2,500,000", per annum,"  Lekki, Lagos",4,5,,
"650,000", per annum,"  Badore, Ajah, Lagos",2,3,,
"900,000", per annum,"  Agungi Ext., Lekki, Lagos",1,1,2,
"550,000", per annum,"  Kudirat Abiola Estate, Fagba, Agege, Lagos",3,3,,
"7,000,000", per annum,"  Anthony, Maryland, Lagos",,,,
"350,000", per annum,"  Akowonjo Road, Akowonjo, Alimosho, Lagos",,,,
"550,000", per annum,"  Lekki, Lagos, Agungi, Lekki, Lagos",1,1,600,
"450,000", per annum,"  Chevron, Lekki, Lagos, Lekki, Lagos",1,1,600,
"800,000", per annum,"  Near Nnpc Filling Station Badore, Badore, Ajah, Lagos",3,3,3,
,,"  Salaudeen Akano Street, GRA, Ogudu, Lagos",5,5,15,
"600,000", per annum,"  Omolephase2, Omole Phase 2, Ikeja, Lagos",1,1,,
"3,000,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,2,
"2,700,000", per annum,"  Lekki Phase 1, Lekki, Lagos",3,3,2,
"750,000", per annum,"  Newroad, Opposite Chevron, Lekki, Lagos",1,1,2,
"800,000", per annum,"  Sangotedo, Ajah, Lagos",3,2,,
"1,000,000", per annum,"  Yaba, Lagos",2,3,,
"300,000", per annum,"  Yaba, Lagos",1,1,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"850,000", per annum,"  Chevron, Chevy View Estate, Lekki, Lagos",1,1,2,
"400,000", per annum,"  Chevron, Chevy View Estate, Lekki, Lagos",1,1,1,
"15,000,000", per annum,"  Ibru Ware House, Oghara, Ethiope East, Delta",,,,
"650,000", per annum,"  By Adekunle, Alagomeji, Yaba, Lagos",3,2,1,
"15,000,000", per annum,"  Banana Island, Ikoyi, Lagos",3,,,
"4,500,000", per annum,"  6, Adebisi Ogunniyi Street, Lekki Phase 1, Lekki, Lagos",4,,,
"50,000", per annum,"  Victoria Island (VI), Lagos",,,,
"50,000", per annum,"  Adamas Plaza, VGC, Lekki, Lagos",,,,
"3,500,000", per annum,"  Chevy View Estate, Lekki, Lagos",4,5,,
"4,000,000", per annum,"  Osapa, Lekki, Lagos",5,6,,
"500,000", per annum,"  Badore, Ajah, Lagos",1,2,,
"3,000,000", per annum,"  GRA, Magodo, Lagos",5,5,,
"450,000", per annum,"  Newroad, Opposite Chevron, Lekki Expressway, Lekki, Lagos",1,1,4,
"1,200,000", per annum,"  Shangisha Phase 2, GRA, Magodo, Lagos",2,2,,
"15,000,000", per annum,"  Maitama District, Abuja",5,6,6,
"2,500,000", per annum,"  Ikeja GRA, Ikeja, Lagos",2,2,,
"30,000", per day,"  Plot 5, Oladipo Diya Way, Gudu, Abuja",15,,,
"2,500,000", per annum,"  Oniru, Victoria Island (VI), Lagos",1,2,,
"750,000", per annum,"  Magodo Phase 1, GRA, Magodo, Lagos",2,2,11,
"5,000,000", per annum,"  Banana Island, Ikoyi, Lagos",2,3,,
"1,600,000", per annum,"  Admiralty Estate, Lekki Phase 2, Lekki, Lagos",3,3,2,
"2,000,000", per annum,"  Fatai Arobieke, Lekki Phase 1, Lekki, Lagos",3,2,2,
"1,800,000", per annum,"  Idado Extension, Idado, Lekki, Lagos",3,3,6,
"400,000", per annum,"  Palmgrove, Shomolu, Lagos",1,1,4,
"900,000", per annum,"  Mobil Road, Lekki Expressway, Lekki, Lagos",2,2,2,
"4,200,000", per annum,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",4,5,3,
"5,500,000", per annum,"  Banana Island, Ikoyi, Lagos",3,3,2,
"6,000,000", per annum,"  Banana Island, Ikoyi, Lagos",4,,,
"200,000", per annum,"  Yaba, Lagos",1,1,1,
"8,000,000", per annum,"  Banana Island, Ikoyi, Lagos",4,4,3,
"2,000,000", per annum,"  Life Camp, Gwarinpa, Abuja",2,2,15,
"800,000", per annum,"  Alhaja Eleshin, Ogudu, Lagos",2,2,,
