price,unit,location,bedrooms,baths,state
"2,500,000",per Year, ,2 bed,2 bath,
"1,400,000",per Year, ,2 bed,2 bath,
"2,200,000",per Year, ,3 bed,2 bath,
"6,000,000",per Year, ,3 bed,3 bath,
"62,000,000",per Year, ,3 bed,3 bath,
"3,000,000",per Year, ,3 bed,3 bath,
"2,300,000",per Year, ,2 bed,2 bath,
"3,000,000",per Year, ,4 bed,4 bath,
"5,000,000",per Year, ,4 bed,5 bath,
"2,500,000",per Year, ,3 bed,2 bath,
"1,300,000",per Year, ,3 bed,3 bath,
"5,500,000",per Year, ,4 bed,5 bath,
"5,000,000",per Year, ,5 bed,5 bath,
"5,000,000",per Year, ,5 bed,5 bath,
"250,000",per Year, ,0 bed,0 bath,
"3,500,000",per Year, ,4 bed,4 bath,
"2,500,000",per Year, ,2 bed,0 bath,
"15,000,000",per Year, ,3 bed,3 bath,
"2,500,000",per Year, ,3 bed,3 bath,
"1,100,000",per Year, ,2 bed,2 bath,
"4,250,000",per Year, ,4 bed,4 bath,
"5,000,000",per Year, ,3 bed,3 bath,
"10,000,000",per Year, ,3 bed,3 bath,
"6,000,000",per Year, ,4 bed,4 bath,
"1,600,000",per Year, ,4 bed,5 bath,
"3,000,000",per Year, ,4 bed,4 bath,
"2,500,000",per Year, ,0 bed,0 bath,
"1,100,000",per Year, ,3 bed,3 bath,
"700,000",per Year, ,2 bed,2 bath,
"1,200,000",per Year, ,4 bed,4 bath,
"600,000",per Year, ,1 bed,1 bath,
"600,000",per Year, ,1 bed,1 bath,
"6,000,000",per Year, ,4 bed,5 bath,
"300,000",per Year, ,0 bed,0 bath,
"1,200,000",per Year, ,0 bed,0 bath,
"1,000,000",per Year, ,3 bed,3 bath,
"900,000",per Year, ,2 bed,2 bath,
"1,800,000",per Year, ,3 bed,3 bath,
"3,500,000",per Year, ,4 bed,4 bath,
"1,800,000",per Year, ,3 bed,3 bath,
"1,000,000",per Year, ,3 bed,2 bath,
"650,000",per Year, ,3 bed,1 bath,
"5,000,000",per Year, ,4 bed,5 bath,
"420,000",per Year, ,1 bed,1 bath,
"1,200,000",per Year, ,3 bed,3 bath,
"5,000,000",per Year, ,3 bed,4 bath,
"2,500,000",per Year, ,0 bed,0 bath,
"1,900,000",per Year, ,3 bed,4 bath,
"1,200,000",per Year, ,1 bed,1 bath,
"1,200,000",per Year, ,1 bed,1 bath,
"30,000",per Year, amodu okikutu street off saka tinubu saka tinubu victoria island lagos,0 bed,0 bath,
"1,500,000",per Year, ,1 bed,2 bath,
"1,800,000",per Year, ,3 bed,4 bath,
"1,800,000",per Year, ,2 bed,3 bath,
"2,000,000",per Year, ,3 bed,4 bath,
"5,500,000",per Year, ,4 bed,4 bath,
"850,000",per Year, ,2 bed,2 bath,
"1,200,000",per Year, ,2 bed,2 bath,
"1,300,000",per Year, ,2 bed,0 bath,
"600,000",per Year, ,1 bed,1 bath,
"6,000,000",per Year, ,4 bed,4 bath,
"15,000,000",per Year, ,6 bed,6 bath,
"35,000",per Year, ,10 bed,1 bath,
"3,500,000",per Year, ,3 bed,3 bath,
"1,800,000",per Year, ,1 bed,1 bath,
"3,000,000",per Year, ,4 bed,4 bath,
"1,500,000",per Year, ,3 bed,3 bath,
"800,000",per Year, ,3 bed,3 bath,
"2,800,000",per Year, ,4 bed,5 bath,
"3,500,000",per Year, ,4 bed,4 bath,
"1,800,000",per Year, ,2 bed,2 bath,
"700,000",per Year, ,3 bed,3 bath,
"3,000,000",per Year, ,3 bed,4 bath,
"6,000,000",per Year, ,5 bed,6 bath,
"1,500,000",per Year, ,1 bed,2 bath,
"1,700,000",per Year, ,4 bed,4 bath,
"1,100,000",per Year, ,2 bed,2 bath,
"1,000,000",per Year, ,2 bed,2 bath,
"700,000",per Year, ,3 bed,3 bath,
"1,700,000",per Year, ,3 bed,3 bath,
"500,000",per Year, ,0 bed,0 bath,
"900,000",per Year, ,0 bed,0 bath,
"12,000,000",per Year, ,5 bed,6 bath,
"2,200,000",per Year, ,4 bed,5 bath,
"10,000,000",per Year, ,5 bed,5 bath,
"6,000,000",per Year, ,4 bed,4 bath,
