price,unit,location,bedrooms,baths,state
"₦ 5,000 / Per Event","₦ 5,000 / Per Event",LAGOS/Ikeja,,,
"₦ 45,000 / Yearly","₦ 45,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 45,000 / Yearly","₦ 45,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 50,000 / Yearly","₦ 50,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
"₦ 65,000 / Yearly","₦ 65,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 80,000 / Yearly","₦ 80,000 / Yearly",KANO/taruni,,,
"₦ 100,000 / Yearly","₦ 100,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 100,000 / Yearly","₦ 100,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 120,000 / Yearly","₦ 120,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 120,000 / Yearly","₦ 120,000 / Yearly",ABUJA (FCT)/Dawaki,1,,
"₦ 120,000 / Yearly","₦ 120,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 130,000 / Yearly","₦ 130,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
,,,,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 150,000 / Yearly","₦ 150,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 170,000 / Yearly","₦ 170,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 170,000 / Yearly","₦ 170,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
"₦ 170,000 / Yearly","₦ 170,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
"₦ 170,000 / Yearly","₦ 170,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
"₦ 170,000 / Yearly","₦ 170,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
,,,,,
"₦ 200,000 / Yearly","₦ 200,000 / Yearly",ABUJA (FCT)/Dutse Makaranta,1,,
"₦ 200,000 / Yearly","₦ 200,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 200,000 / Yearly","₦ 200,000 / Yearly",ABUJA (FCT)/Dutse Alhaji,1,,
"₦ 200,000 / Yearly","₦ 200,000 / Yearly",ABUJA (FCT)/Dutse Sokale,1,,
