price,unit,location,bedrooms,baths,state
"₦450,000",per Year," Ogun, Odeda, Ogun State ",2,2,
"₦150,000",per Year," Abeokuta, Abeokuta South, Ogun State ",1,1,
"₦700,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦250,000",per Year," Ifo, Ogun State ",2,2,
"₦200,000",per Year," Ofada, Obafemi Owode, Ogun State ",,,
"₦450,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦120,000",per Year," Ifo, Ogun State ",,,
"₦650,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦450,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦350,000",per Year," Ogun, Odeda, Ogun State ",2,2,
,per Year," Ogun, Odeda, Ogun State ",,,
"₦1,500,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦500,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦600,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦500,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦300,000",per Year," Ogun, Odeda, Ogun State ",2,2,
"₦1,500,000",per Year," Abule Egba, Egbado North, Ogun State ",,,
"₦430,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦350,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦500,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦250,000",per Year," Ogun, Odeda, Ogun State ",2,2,
"₦400,000",per Year," Ogun, Odeda, Ogun State ",3,3,
"₦700,000",per Year," Abule Egba, Egbado North, Ogun State ",,,
"₦150,000",per Year," Ado Odo/Ota, Ogun State ",2,2,
"₦230,000",per Year," Ogun, Odeda, Ogun State ",2,2,
"₦250,000",per Year," Abuja, Municipal Area Council, Federal Capital Territory State ",1,1,
,per Year," Abuja, Municipal Area Council, Federal Capital Territory State ",,,
"₦2,000,000",per Year," Abuja, Municipal Area Council, Federal Capital Territory State ",2,2,
,per Year," Abuja, Municipal Area Council, Federal Capital Territory State ",5,5,
"₦2,000,000",per Year," Jahi, Municipal Area Council, Federal Capital Territory State ",2,2,
